ds,yhat,yhat_lower,yhat_upper
2022-11-09,3846.1175926275887,3651.093723728182,4027.225142790002
2022-11-10,3853.939206331454,3669.719384710069,4049.8721568961596
2022-11-11,3863.050813328165,3665.236856950217,4040.487840315535
2022-11-14,3881.6612037329373,3703.268555639893,4083.6931303667116
2022-11-15,3886.6264152563963,3708.712032866717,4067.0377290950582
2022-11-16,3889.551539072322,3700.6603908465854,4052.9347631103296
2022-11-17,3897.017633438306,3727.716319922711,4084.942071382083
2022-11-18,3905.59939541098,3716.7527137875245,4093.7494362188695
2022-11-21,3921.5878223580935,3737.302027939791,4098.616786945324
2022-11-22,3925.3366075681856,3735.029075533334,4102.921184844325
2022-11-23,3926.874152720544,3754.1621539536045,4109.533299296179
2022-11-25,3939.63446011216,3755.7660472027965,4126.72938902379
2022-11-28,3949.436948443653,3769.266174771602,4137.783904524504
2022-11-29,3950.8065278832396,3775.4255983555545,4145.61546171421
2022-11-30,3949.8194959020307,3752.491250241567,4135.691425418849
2022-12-01,3953.0688392248258,3765.6541707428064,4131.835332124221
2022-12-02,3957.144579651794,3775.5018849748453,4139.8350555661855
2022-12-05,3958.0938917423928,3781.3485530259795,4131.557885042917
2022-12-06,3956.4168507409995,3786.932824145358,4126.250057206709
2022-12-07,3952.3812772098413,3782.8580691063603,4133.482669219369
2022-12-08,3952.6109817677866,3777.409272285914,4141.666437334918
2022-12-09,3953.728383680478,3766.188854507661,4124.354875743216
2022-12-12,3946.505789973228,3766.56298703497,4117.510143990652
2022-12-13,3942.4500814539315,3764.588454312074,4120.937130392627
2022-12-14,3936.2610777885316,3755.0167119047887,4119.588473607965
2022-12-15,3934.590921994161,3749.2422317993487,4111.982315092951
2022-12-16,3934.087265130648,3743.656879948558,4132.07432475779
2022-12-19,3923.86774203898,3744.626664600901,4109.692747858298
2022-12-20,3919.4766717057455,3739.82739717352,4110.401976645412
2022-12-21,3913.297033798166,3735.693053681694,4091.136076543152
2022-12-22,3911.9731294869234,3727.637010807255,4087.7429685631782
2022-12-23,3912.144281320471,3740.0770608733737,4085.946210446969
