Date,Close,High,Low,Open,Volume
11-02-25,6068.50,6076.28,6042.34,6049.32,4324880000
12-02-25,6051.97,6063.00,6003.00,6025.08,4627960000
13-02-25,6115.07,6116.91,6050.95,6060.59,4763800000
14-02-25,6114.63,6127.47,6107.62,6115.52,4335190000
18-02-25,6129.58,6129.63,6099.51,6121.60,4684980000
19-02-25,6144.15,6147.43,6111.15,6117.76,4562330000
20-02-25,6117.52,6134.50,6084.59,6134.50,4813690000
21-02-25,6013.13,6114.82,6008.56,6114.10,5434560000
24-02-25,5983.25,6043.65,5977.83,6026.69,4990120000
25-02-25,5955.25,5992.65,5908.49,5982.73,5374690000
26-02-25,5956.06,6009.82,5932.69,5970.87,4869580000
27-02-25,5861.57,5993.69,5858.78,5981.88,5057680000
28-02-25,5954.50,5959.40,5837.66,5856.74,6441140000
03-03-25,5849.72,5986.09,5810.91,5968.33,5613850000
04-03-25,5778.15,5865.08,5732.59,5811.98,6138110000
05-03-25,5842.63,5860.59,5742.35,5781.36,5285970000
06-03-25,5738.52,5812.08,5711.64,5785.87,5165080000
07-03-25,5770.20,5783.01,5666.29,5726.01,5705140000
10-03-25,5614.56,5705.37,5564.02,5705.37,6409370000
11-03-25,5572.07,5636.30,5528.41,5603.65,6221240000
12-03-25,5599.30,5642.19,5546.09,5624.84,5219830000
13-03-25,5521.52,5597.78,5504.65,5594.45,5018980000
14-03-25,5638.94,5645.27,5563.85,5563.85,4863180000
17-03-25,5675.12,5703.52,5631.12,5635.60,5031770000
18-03-25,5614.66,5654.53,5597.76,5654.53,4666270000
19-03-25,5675.29,5715.33,5622.20,5632.37,4660090000
20-03-25,5662.89,5711.15,5632.33,5646.92,4678420000
21-03-25,5667.56,5670.84,5603.10,5630.73,9367460000
24-03-25,5767.57,5775.14,5718.08,5718.08,4517990000
25-03-25,5776.65,5786.95,5760.42,5775.96,4467340000
26-03-25,5712.20,5783.62,5694.41,5771.66,4183140000
27-03-25,5693.31,5732.28,5670.94,5695.64,4403460000
28-03-25,5580.94,5685.89,5572.42,5679.20,4513330000
31-03-25,5611.85,5627.56,5488.73,5527.91,5257250000
01-04-25,5633.07,5650.57,5558.52,5597.53,4434500000
02-04-25,5670.97,5695.31,5571.48,5580.76,4243830000
03-04-25,5396.52,5499.53,5390.83,5492.74,7210470000
04-04-25,5074.08,5292.14,5069.90,5292.14,8853500000
07-04-25,5062.25,5246.57,4835.04,4953.79,8691980000
08-04-25,4982.77,5267.47,4910.42,5193.57,7408140000
09-04-25,5456.90,5481.34,4948.43,4965.28,9489600000
10-04-25,5268.05,5353.15,5115.27,5353.15,6677140000
11-04-25,5363.36,5381.46,5220.77,5255.56,5602550000
14-04-25,5405.97,5459.46,5358.02,5441.96,5031440000
15-04-25,5396.63,5450.41,5386.44,5411.99,4317110000
16-04-25,5275.70,5367.24,5220.79,5335.75,4607750000
17-04-25,5282.70,5328.31,5255.58,5305.45,4714880000
21-04-25,5158.20,5232.94,5101.63,5232.94,4226340000
22-04-25,5287.76,5309.61,5207.67,5207.67,4666950000
23-04-25,5375.86,5469.69,5356.17,5395.92,5371390000
24-04-25,5484.77,5489.40,5371.96,5381.38,4697710000
25-04-25,5525.21,5528.11,5455.86,5489.73,4236580000
28-04-25,5528.75,5553.66,5468.64,5529.22,4257880000
29-04-25,5560.83,5571.95,5505.70,5508.87,4747150000
30-04-25,5569.06,5581.84,5433.24,5499.44,5449490000
01-05-25,5604.14,5658.91,5597.35,5625.14,4935270000
02-05-25,5686.67,5700.70,5642.28,5645.88,4854380000
05-05-25,5650.38,5683.38,5634.48,5655.32,4358260000
06-05-25,5606.91,5649.58,5586.04,5605.87,4717260000
07-05-25,5631.28,5654.73,5578.64,5614.18,4987440000
08-05-25,5663.94,5720.10,5635.38,5663.60,5627400000
09-05-25,5659.91,5691.69,5644.15,5679.65,4645090000
12-05-25,5844.19,5845.37,5786.08,5807.20,6014580000
13-05-25,5886.55,5906.64,5845.02,5854.15,5516290000
